Federal State;Observed_deaths_Pandemic_Year_1;Observed_deaths_Pandemic_Year_2;Observed_deaths_Pandemic_Year_3;Expected_deaths_Pandemic_Year_1;Expected_deaths_Pandemic_Year_2;Expected_deaths_Pandemic_Year_3;Excess_mortality_Pandemic_Year1;Excess_mortality_Pandemic_Year2;Excess_mortality_Pandemic_Year3;COVID_deaths_Pandemic_Year1;COVID_deaths_Pandemic_Year2;COVID_deaths_Pandemic_Year3;COVID_infections_Pandemic_Year1;COVID_infections_Pandemic_Year2;COVID_infections_Pandemic_Year3;Measures_Overall_Pandemic_Year1;Measures_Overall_Pandemic_Year2;Measures_Overall_Pandemic_Year3;Second_Vaccination_Rate_End_Pandemic_Year_2;Third_Vaccination_Rate_End_Pandemic_Year_2;Second_Vaccination_Rate_End_Pandemic_Year_3;Third_Vaccination_Rate_End_Pandemic_Year_3;GDP_per_capita_2020;GDP_per_capita_2021;GDP_per_capita_2022;Risk_of_poverty_rate_2020;Risk_of_poverty_rate_2021;Risk_of_poverty_rate_2022;Mean_Age_2020;Mean_Age_2021;Mean_Age_2022;Care_Needs_Percent_31.12.2021;Population_size_31.12.2020;Population_size_31.12.2021;Population_size_31.12.2022;Trust_in_Institutions;Influenza_Infections_Rate_Year_3;State_factors_mortality_Pandemic_Year_1;State_factors_mortality_Pandemic_Year_2;State_factors_mortality_Pandemic_Year_3;;;
Baden-Württemberg;116463;119701;126409;115231,267;116698,812;118009,54;1,068922552;2,572595169;7,117611;8742;6660;3828;361625;2668668;1680704;45,25;45,58;7,88;74,1;57;74,5;61,5;45878;48493;50982;13,1;14,1;13,6;43,76578254;43,84187518;43,76410781;4,86;11103043;11124642;11280257;35,9;256,74;0,9217641;0,921777245;0,92185368;;;
Bayern;145234;147897;153736;140644,724;142186,53;143453,346;3,263027485;4,016182124;7,167942949;13204;9663;6027;496321;3505400;2257516;48,29;39,28;8,16;74,8;56,1;75,1;59,3;48013;50643;53768;11,6;12,8;12,7;44,01230892;44,05662064;43,96791189;4,39;13140183;13176989;13369393;35;486,97;0,960891031;0,960894418;0,960959966;;;
Berlin;38671;37541;39623;37078,487;37302,116;37676,276;4,294978379;0,640403349;5,166975632;3303;1223;1122;145245;760027;386137;40,07;44,04;8,93;77;59,5;78,1;64,1;42752;45074;48147;20,2;20,1;17,3;42,67192464;42,63534923;42,43850957;5,04;3664088;3677472;3755251;34,6;309,26;0,986160419;0,986134249;0,986209035;;;
Brandenburg;36223;36555;37768;34500,4;35119,862;35597,393;4,992985589;4,086399884;6,097657208;3363;2121;1046;87593;598383;343975;44,96;45,11;12,14;69;51,7;68,1;55,8;29985;31787;34610;14,3;14,8;14,3;47,24749069;47,26986352;47,13441522;7,28;2531071;2537868;2573135;26,6;553,45;1,036195141;1,036244391;1,036349672;;;
Bremen;8082;8290;9003;8060,825;8112,227;8106,015;0,262690233;2,191420432;11,0656716;414;300;274;20821;132452;130422;40,27;45,49;8,15;89,2;64,7;88,3;67,6;47257;51822;56901;28,4;28,2;28,4;43,67360652;43,62518201;43,43054679;6,22;680130;676463;684864;38,2;102,99;1,023659104;1,023635362;1,023644455;;;
Hamburg;18607;18881;20009;18336,505;18482,443;18582,757;1,475172068;2,156408652;7,675088255;1489;1031;1122;60667;381399;306229;41,71;49,04;10,97;83;59,9;84,5;67,1;64838;70620;76910;17,8;17,5;19,3;42,13517084;42,16373578;42,00537492;4,87;1852478;1853935;1892122;39,6;339,79;0,968112984;0,968099229;0,968143557;;;
Hessen;72041;71297;76320;69355,568;70060,766;70626,382;3,871977517;1,76451682;8,061602249;6475;3344;2743;217605;1216287;1284261;46,28;42,9;8,83;74,6;56,4;75,8;61,2;45803;48190;50751;17,5;18,5;17,7;44,0452854;44,10339472;43,98039807;5,85;6293154;6295017;6391360;35,4;256,59;0,970073833;0,970072625;0,970133396;;;
Mecklenburg-Vorpommern;22519;24418;25237;22786,709;23272,493;23556,166;-1,174847144;4,922149939;7,135431122;941;1091;762;30363;366077;287691;34,43;47,79;9,27;74,4;56,7;74,7;60,2;29167;30957;32837;19,8;18,3;18,7;47,37108744;47,47819025;47,37050243;7,63;1610774;1611160;1628378;39,3;804,04;1,074311571;1,074384882;1,07448413;;;
Niedersachsen;97408;100318;110448;98430,572;99760,353;100797,394;-1,038876417;0,558986595;9,574261414;5013;3492;5577;196101;1495552;1983991;44,75;36,81;8,26;77,6;63,3;77,6;67,1;37969;39390;41826;17,6;18,3;17,9;44,7976987;44,84408812;44,70710785;6,76;8003421;8027031;8140242;38;237,17;1,025373282;1,025392489;1,025471431;;;
Nordrhein-Westfalen;216122;221380;237528;215195,024;217136,112;218410,545;0,43076089;1,954482818;8,752990841;14344;9608;7923;608416;3613956;3242164;43,89;36,15;8,44;78,9;61,3;79,5;66;39427;41440;43910;17,6;19,2;19,5;44,28549993;44,31864295;44,18481937;6,65;17925570;17924591;18139116;35,8;238,93;1,029957589;1,029949293;1,029999734;;;
Rheinland-Pfalz;49568;50967;54253;49619,09;50156,912;50543,292;-0,102964403;1,615107405;7,339664381;3256;1916;1677;115924;763477;779493;46,94;45,42;8,36;75,2;58,8;75,6;63,7;35291;39530;41366;16,3;17;17,3;44,96483242;45,01701224;44,89736028;5,88;4098391;4106485;4159150;32,5;325,52;1,007818297;1,007821084;1,007882029;;;
Saarland;13890;14414;15543;13835,281;13948,71;13998,964;0,395503351;3,335720651;11,02964477;903;616;607;31737;214471;216674;45,24;43,73;10,07;82,3;65,9;82,4;69,5;35140;36730;38925;16,4;17,6;18,9;46,50690047;46,53687899;46,34617283;7,18;983991;982348;992666;42,2;243,07;1,080749825;1,080735948;1,080773855;;;
Sachsen;65674;60999;60982;57329,605;57364,502;57528,138;14,55512383;6,335796308;6,003778534;8767;6164;1899;220335;1090141;431021;42,42;43,07;8,01;64,5;48;65,1;50,7;31660;33330;35909;18;17;16,4;46,89980887;46,91223724;46,77155867;7,68;4056941;4043002;4086152;30,5;846,03;0,995043285;0,99498538;0,995015922;;;
Sachsen-Anhalt;35745;36136;37271;34029,14;34290,939;34352,064;5,042325489;5,380607979;8,497119707;2930;2293;1067;72432;530436;289055;49,57;49,74;8,45;73,2;54,2;74,1;58,5;29345;31381;34505;20,5;19,2;19,3;48,23661246;48,25897924;47,88290155;7,67;2180684;2169253;2186643;29,9;887,49;1,112225865;1,112208102;1,112235297;;;
Schleswig-Holstein;35610;37025;41334;36646,591;37405,096;37998,326;-2,828615082;-1,016161007;8,778476189;1472;879;1131;49590;455628;623826;41,54;41,13;9,31;80,7;71,9;79,6;70,4;34291;35903;38274;15,9;15,6;16,9;45,55354988;45,63895527;45,57024417;5,43;2910875;2922005;2953270;39,1;228,31;1,020832174;1,020896219;1,021011376;;;
Thüringen;32204;33281;33131;30576,023;30828,676;30864,999;5,32435824;7,954684788;7,341652595;3569;3482;1257;94098;503282;195101;43,12;41,92;8,29;70,2;51,6;70,3;54,3;29735;31413;33656;17,9;19;18,5;47,54130199;47,59178216;47,47537621;7,89;2120237;2108863;2126846;34,9;1056,17;1,062240606;1,062227138;1,062249439;;;
